art,EW 5876 G,EW 4541 G,EW 4471 G,EW 5411 G,EW 4481 G,EW 5592 G,EW 4686 G,EW 4116G,EW 4340G,FWHM 5876 G,FWHM 4541 G,FWHM 4471 G,FWHM 5411 G,FWHM 4481 G,FWHM 5592 G,FWHM 4552 G,FWHM 4267 G,FWHM 4116G,FWHM 4340G,EW 5876,EW 4541,EW 4471,EW 5411,EW 4481,EW 5592,EW 4686,EW 4116,EW 4340,EW 5876 INT,EW 4541 INT,EW 4471 INT,EW 5411 INT,EW 4481 INT,EW 5592 INT,EW 4686 INT,EW 4340 INT
B,803.41,0,742.02,0,215.33,0,0,0,2153.37,1.92,0,1.8,0,0,0,1.45,1.13,0,4.57,873.47,0,790.1,0,129.82,0,0,0,2428.77,847.37,0,751.34,0,166.55,0,0,3152.01
B,40.81,0,507.75,0,0,0,0,0,303.37,1.33,0,4.1,0,0,0,0,0,0,2.96,34.52,0,564.89,0,0,0,0,0,362.96,37.03,0,493.22,0,0,0,0.07,373.74
B,885.5,0,783.52,0,240.14,0,0,0,2231.2,3.27,0,2.73,0,0,0,2.33,1.96,0,5.22,904.62,0,784.92,0,118.9,0,0,0,2454.44,862.91,0,778.5,0,154.62,0,0,2710.46
B,61.18,18.43,108.22,0,254.48,0,0,0,7224.04,0.46,0.17,0.7,0,0.21,0,0.35,0.34,0,10.15,56.88,29.56,121.81,0,247.03,8.7,0,0,6534.33,69.71,18.71,154.16,0,254.85,5.17,0,6930.19
B,600.01,0,897.11,63.49,117.85,10.63,106.55,0,3428.57,2.83,0,3.53,2.38,0.99,1.53,1.94,1.08,0,8.47,610.95,0,954.12,52.83,109.88,15.05,46.95,0,3519.36,728.68,0,911.25,38.68,103.49,4.13,0,3744.82
B,622.42,0,1113.15,0,218.81,0,0,16.89,4867.93,1.93,0,2.9,0,0,0,1.26,1.04,0.59,9.01,654.8,0,1088.45,0,179.87,0,0,28.4,4804.19,653.91,0,1110.58,0,198.68,0,0,4944.25
B,806.16,0,655.4,0,190.96,0,0,32.96,1788.25,1.71,0,1.38,0,0,0,0.93,0.86,0.45,3.7,840.83,0,682.91,0,136.71,0,0,5.15,2114.39,836.28,0,681.04,0,187.75,0,0,2673.57
B,676.16,0,1007.84,0,158.58,0,28.57,0,3502.08,2.6,0,3.05,0,0,1.28,2.03,1.41,0,7.78,712.48,0,1043.91,0,139.03,0,102.75,0,3411.97,689.14,0,1042.71,0,131.83,0,0,3569.32
B,771.82,0,682.24,0,157.45,0,31.69,73.77,2218.98,1.6,0,1.49,0,0,0.82,0.84,0.79,0.61,4.85,830.61,0,709.69,0,137.22,0,22.55,17.49,2375.62,832.57,0,714.91,2.09,156.57,1.03,12.55,2954.5
B,669.29,0,755.04,0,143.83,2.72,34.72,58.55,2817.66,1.45,0,1.87,0,0.44,0.88,0.89,0.78,0.53,6.36,761.77,0,808.24,0,112.27,5.64,4.32,120.81,3089.74,775.18,0,924.26,0,150.17,0,21.59,3532.16
B,382.98,0,593.19,0,284.11,0,0,0,5941.58,0.98,0,1.64,0,0,0.14,0.68,0.64,12.66,9.53,417.96,0,677.9,0,315.25,0,17.35,3346.31,6153.04,420.99,0,787.25,0,300.42,0,1.15,6224.45
B,798.53,0,684.66,0,233.14,0,0,31.64,0,2.31,0,1.6,0,0,0,1.42,1.23,0.78,2.68,545.78,0,727.62,0,182.39,0,0,3.91,1447.06,763.43,0,709.46,0,191.29,0,0,2050.89
B,693.54,0,654.86,0,222.8,0,0,64.5,0,2.26,0,1.64,0,0,0,1.5,1.07,0.78,2.59,649.1,0,590.6,0,150.62,0,0,37.11,1348.42,695.44,0,623.46,0.3,173.56,0,0,2012.54
B,241.87,18.09,344,0.89,312.38,0,0,0,5935.89,1.02,0.76,1.4,0.1,0,0,0.8,0.68,17.69,8.84,235,14.97,403.6,0.23,304.78,0,0,4641.42,6091.74,262.74,17.22,502.77,0,315.53,0,0,6126.9
B,555.3,0,983.82,0,277.02,0,0,0,5622.89,2.64,0,3.29,0,0.08,0,2.01,1.6,0,9.6,643.69,0,1059.12,0,247.1,1.94,0,0,5243.51,598.79,0,1041.18,0,259.02,0.18,0,5283.76
B,688.26,0,1175.33,0,200.06,0,0,0,3687.08,1.88,0,2.84,0,0,0,1.36,0.98,0,7.1,743.81,0,1197.41,0,191.92,0,0,0,3544.69,718.57,0,1183.11,0,214.84,0,0,3782.44
B,599.48,0,882.63,0,182.06,0,0,0,3243.66,1.25,0,1.91,0,0,0,0.77,0.73,0,6,698.63,0,973.64,0,173.5,0,0,0,3521.94,711.91,0,1071.26,0,196.94,0,0,3810.68
B,98.13,0,233.85,0,424.51,0,0,0,8793.98,2.84,0,3.24,0.05,0,0,3.74,0,0,12.43,129.34,0,170,11.84,369.72,0,0,0,8240.19,74.27,0,218.78,0,436.55,0,0,8543.99
B,641.5,0,483.88,0,218.8,0,0,0,667.62,1.87,0,1.32,0,0,0,1.48,0.89,0,1.7,693.75,0,424.56,0,177.81,0,0,0,771.62,699.44,0,429.68,0,187.11,0,0,856.83
B,152.96,0,368.23,0,212.19,0,0,0,7529.42,0.86,0,2.3,0,0,0,0.63,0.53,0,11.28,173.53,0,429.64,0,218.84,0,0,0,7026.83,171.9,0,431.3,0,322.42,0,0,6977.2
B,604.98,0,976.9,0,200.07,0,0,0,3852.89,1.32,0,2.16,0,0,0,0.83,0.77,0,7.22,652.36,0,1027.78,0,207.62,0,0,0,3975.6,666.44,0,1059.62,0,216.45,0,0,4130.05
B,362.49,0,682.11,0,331.11,0,0,0,7141.68,2.65,0,3.12,0,0,0,2.16,1.68,0,11.12,400.95,0,796.83,0,303.67,0,0,0,6770.03,380.22,0,725.71,0,284.53,0,0,6858.44
B,770.9,0,1329.8,0,0,0,0,0,5135.32,4.26,0,4.51,0,0,0,4.23,2.29,0,9.82,823.67,0,1513.5,0,1325.62,0,0,0,4397.85,795.77,0,1737.41,0,1531.96,0.38,0,4408.36
B,225.62,0,621.97,3.84,187.56,0,0,0,6000.05,0.87,0,3.25,0.21,0,0,0.43,0.45,0,10.29,256.44,0,613.65,6.21,196.66,0,0,0,5365.58,267.66,0,655.27,0,292.88,0,0,5348.4
B,589.7,0,1047.25,0,255.83,0,0,0,5105.79,2.93,0,3.34,0,0,0,2.58,1.62,0,9.4,458.72,0,998.82,0,198.16,0,0,0,4820.82,589.44,0,970.83,0,206.93,0.41,0,4769.78
B,102.58,11.22,217.56,0,224.16,0,0,0,6792.45,1.03,0.63,1.72,0,0,0,0.83,0.66,0,10.27,104.07,19.77,237.15,0,209.65,0,0,0,6836.69,106.96,9.17,215.62,0.32,210.92,0,0,7041.73
B,55.72,0,90.94,0,255.94,0,0,0,6453.06,0.4,0.15,0.58,0,0.19,0,0.33,0.34,42.3,9.22,60.9,24.61,71.11,0,249.64,15.95,0,30301.69,5378.53,57.22,25.31,98.93,0,259.43,3.63,0,5606.58
B,218.88,0,418.25,0,351.07,0,0,0,7627.56,1.56,0,2.21,0,0,0,1.38,0.9,0,11.6,223.46,0,464.66,0,382,0,0,0,7213.31,237.34,0,439.43,0,382.93,0,0,7364.39
B,505.7,0,795.12,0,269.46,0,0,0,4436.87,3.95,0,3.57,0,0,0,3.11,2.42,0,8,506.41,0,724.53,0,156.47,0,0,0,3800.31,523.26,0,716.34,0,178.23,0,0,4096.28
B,445.49,0,775.02,0,273.74,0,0,0,5355.03,2.08,0,2.7,0,0,0,1.64,1.35,0,8.93,464.58,0,836.83,0,224.68,0,0,0,5454.41,425.39,0,778.95,0,246.18,0,0,5217.01
B,108.25,15.54,164.26,0,391.56,0,0,8879.88,8825.97,1.15,0.71,1.34,0,0,0,1.04,0.63,11.25,11.6,109.44,13.09,211.83,0,402.38,0,0,9329.07,8828.54,114.45,2.68,211.18,0.33,386.33,0,0.89,8803.34
B,317.43,0,488.56,0,301.99,0,0,0,7251.2,0.85,0.12,1.5,0,0,0,0.59,0.53,0,11.13,365.71,0.14,587.61,0,296.06,0,0,6437195.76,6960.61,354.34,0.41,720.83,0,301.85,0.37,0,7076.17
B,532.23,0,974.38,0,205.34,0,0,0,4620.31,3.04,0,3.47,0,0,0,2.01,1.32,0,8.52,499.87,0,1030.66,0,147.35,0,0,0,4013.68,526.14,0,938.72,0,211.57,1.09,0,4299.57
B,571.64,0,868.13,0,353.57,0,0,0,5732.17,6.08,0,4.97,0,0,0,4.62,0.82,0,10.17,452.62,0,702.86,0,183.72,0,0,0,4894.89,473.32,0,726.23,0.28,250.84,0,0,5013.21
B,306.77,0,411.57,0,316.34,0,0,26.12,5468.07,1.27,0.06,1.59,0,0.25,0,0.99,0.82,0.77,8.29,318.95,5.16,491.44,0,305.94,8.1,0,49.44,5597.54,325.94,0,450.9,0,297.56,0,1.52,5820.2
B,265.23,0,456.03,0,347.72,0,0,0,6712.44,4.83,0,4.46,0,0,0,4.13,0.2,0,10.75,255.73,0,450.04,0,382.57,0,0,0,6361.08,234.43,0,420.63,0,265.67,0,0,6436.95
B,264,0,413.68,0,308.62,0,0.55,0,6084.55,1.52,0,1.85,0,0,0.04,1.19,0.95,0,9.34,286.18,0,453.89,0,322.5,0,7.09,0,6103.16,246.63,0,448.24,0,302,0,0.65,6218.21
B,772.51,0,866.98,0,348.9,0,0,0,3670.5,3.48,0,3.12,0,0,0,2.63,2.13,0,6.81,741.24,0,793.11,0,229.15,0,0,0,3767.37,750.98,0,797.02,0,279.91,0,0,3898.85
