art,EW 5876 G,EW 4541 G,EW 4471 G,EW 5411 G,EW 4481 G,EW 5592 G,EW 4686 G,EW 4116G,EW 4340G,FWHM 5876 G,FWHM 4541 G,FWHM 4471 G,FWHM 5411 G,FWHM 4481 G,FWHM 5592 G,FWHM 4552 G,FWHM 4267 G,FWHM 4116G,FWHM 4340G,EW 5876,EW 4541,EW 4471,EW 5411,EW 4481,EW 5592,EW 4686,EW 4116,EW 4340,EW 5876 INT,EW 4541 INT,EW 4471 INT,EW 5411 INT,EW 4481 INT,EW 5592 INT,EW 4686 INT,EW 4340 INT
B,455.09,0,610.85,0,243.84,0,0.66,0,4983.58,0.77,0,1.29,0,0,0.03,0.42,0.45,0,8.07,533.75,0,683.59,0,239.14,0,13.45,0,5175.73,537.75,0,874.41,0,248.97,0,1.05,5279.2
B,340.34,4.89,445.4,0,276.86,0,0.84,0,5929.68,0.66,0.18,1.06,0,0,0.06,0.4,0.41,11.2,9.31,362.93,11.78,510.11,0,264.83,0,2.71,1070.42,5700.16,390.24,4.42,694.95,0,284.84,0,0.92,6107.08
B,565.54,0,998.83,0,179.13,0,0,0,4277.69,3.25,0,3.81,0,0,0,2.36,2.07,0,9.28,544.42,0,1044.84,0,119.22,0,0,0,3498.68,524.87,0,1067.91,0,140.81,0,0,3531.17
B,665.97,0,741.69,0,252.45,0,0,0.71,3402.15,1.02,0,1.25,0,0,0,0.45,0.52,0.04,5.9,685.29,0,875.82,0,257.55,0,0,13.08,3681.77,712.38,0,1021.14,0,261.1,0,0,3998.36
B,263.01,10.14,342.84,0,295.56,0,0,0,6974.95,0.58,0.19,0.94,0.26,0,0,0.38,0.35,0,10.5,304.36,6.88,422.01,13.53,288.33,0,0,0,6370.65,298.85,9.55,578.23,2.76,323.42,0,0.87,6707.17
B,171.91,0,258.37,0,415.93,0,0,0,7146.14,1.31,0,1.74,0,0,0.1,1.34,0.62,3495.1,9.49,148.55,0,290.62,0,394.47,0,4.87,0,7021.7,166.39,0,298.46,0,406.01,0,0,7025.19
B,358.84,0.43,565.35,0,298.15,0,0,0,6696.08,0.96,0.03,1.65,0,0,0,0.68,0.65,0,10.68,403.14,13.52,651.83,0,312.05,0,0,0,6346.34,382.39,0,736.84,0,289.44,0,0,6484.01
B,564.36,0,961.72,0,171.24,0,0,0,4038.26,0.85,0,1.91,0,0,0.09,0.32,0.4,0.23,7.51,653.63,0,1101.96,0,170.31,0,0.96,12.02,4193.56,697.42,0,1183.63,0,165.56,0.91,0,4430.92
B,305.7,0,453.1,0,301.11,0,0,0,7094.73,0.8,0.42,1.37,0,0,0,0.55,0.5,0,10.82,329.49,21.24,568.27,0,303.76,0,0,0,6754.98,334.39,9.06,697.03,0,308.77,0,0,6688.57
B,1052.04,8.42,718.34,49.86,117.32,48.29,88.51,249.5,1313.7,2.66,0.59,1.96,1.95,1.66,1.39,1.52,1.2,1.23,3.26,1100.67,3.6,690.68,48.76,85.39,41.54,42.41,171.01,1656.35,1079.69,0,631.12,33.7,69.97,38.84,25.42,2462.57
B,724.26,0,1316.45,0,237.06,0,0,0,5592.52,3.41,0,3.92,0,0,0,2.38,1.89,0,10.07,655,0,1303.27,0,206.37,0,0,0,4580.8,696.99,0,1262.49,0,200.89,0,1.4,4750.57
B,697.03,0,888.61,0,218.22,0.68,0,0,2982.06,1.86,0,2.34,0,0.05,0,1.57,1.07,0,6.37,628.16,0,897.43,0,188.65,4.59,0,0,3217.48,699.65,0,949.31,0,206.83,0,0,3662.36
B,751.33,0,1174.24,0,189.89,0,0,0,0,5.14,0,4.54,0,0,0,3.45,1.97,0,0,747.69,0,1077.47,0,29.53,0,0,0,0,643.51,0,1026.86,0,143.98,0,0,3295.7
B,297.14,0,349.44,0.76,286.94,0,0,0,6303.71,0.66,0.32,0.93,0.06,0,0,0.41,0.4,46.19,9.47,347.59,1.09,422,8.16,276.24,0,0,34135.5,5736.15,335.29,5.89,592.93,0.77,291.29,0,0,6073.51
B,157.33,1.38,297.82,0,250.4,0,0,0,6161.72,1.38,0.11,1.98,0,0.06,0,1.16,0.75,0,9.31,167.74,4.32,356.08,0,272.2,19.4,0,0,6448.7,159.99,0,361.5,0,244.14,0,0,6705.42
B,189.51,0,292.73,2.98,359.33,0,0,0,6120.94,2.68,0,2.98,0.17,0,0,2.76,0,0.14,8.99,185.3,0,259.05,3.81,327.8,0,0,13.79,5936.84,155.22,0,195.2,0.19,302.09,0,0,6137.24
B,820.51,0,766.93,21.92,162.93,7.79,70.22,117.22,2129.94,1.62,0,1.68,1.38,0.57,0.99,0.96,0.82,0.67,4.68,839.34,0,840.9,21.15,169.95,3.3,17.89,102.42,2553.89,867.96,0,985.43,10.46,183.57,7.33,20.47,3150.98
B,701.63,0,1164.91,0,212.19,0,0,0,0,3.67,0,3.69,0,0,0,2.52,1.95,0,0,686.86,0,1028.47,0,4.92,0,0,0,0,597.1,0,992.53,0,140.14,0,0,4031.86
B,639.27,0,1165.26,0,284.01,0,0,0,5605.18,3.85,0,4.12,0,0,0,3.1,1.97,0,10.18,648.02,0,1056.81,0,134.99,0,0,0,4784.92,569.23,0,1055.37,0,194.95,0,0,5038.42
B,713.26,0,1340.14,0,268.09,0,0,0,0,4.64,0,4.59,0,0,0,3.6,2.14,0,10.34,743.41,0,1265.24,0,158.95,0,0,0,4131.69,670.6,0,1226.91,0,180.37,0,0,4578.27
B,329.55,0,564.67,0,305.98,0,0,0,6613.24,2.44,0,2.89,0,0,0.05,2.16,1.35,0,10.07,354.35,0,616.87,0,271.06,0,7.01,0,6441.67,329.71,0,553.34,0,288.74,0,0,6375.13
B,473.59,0,1019.71,0,166.6,0,0,0,5376.27,1.43,0,2.92,0,0,0,0.83,0.73,0,9.57,526.96,0,1062.77,0,158.24,0,0,0,5064.13,602.99,0,1082.82,0,232.54,0,0,5072.74
B,689.44,0,588.14,0,106.95,0,0,518.26,2111.11,3.08,0,3.07,0.37,0,0,2.09,1.61,6.49,8.04,514.75,0,528.45,4.6,51.46,0,0,995.58,2356.24,498.92,0,628.81,0,71.37,2.09,0,2660.42
B,704.09,0,923.67,0,170.89,0,0,0,3108.52,4.05,0,3.64,0,0,0,2.88,2.18,0,7.18,658.97,0,923.72,0,61.97,0,0,0,2471.65,654.99,0,864.14,0,112.11,0,0,2878.77
B,143.81,0,239.51,0,228.89,0,0,0,6520.95,1.02,0,1.41,0,0.1,0,0.85,0.59,0,9.76,126.61,0,248.03,0,218.08,12.47,0,0,6692.97,134.21,0,286.05,0,215.67,0.31,0.11,6843.03
B,583.61,0,874.6,12.33,99.73,3.94,76.04,0,3179.11,1.34,0,2.23,1.27,0.37,1.13,0.51,0.57,0.33,6.98,657.5,0,935.87,25.07,91.65,8.91,97.7,59.12,3202.15,690.07,0,1052.73,0,107.26,4.66,93.43,3475.72
B,654.91,0,883.68,0,168.59,6.19,0,0,3059.02,2.19,0,3.19,0,0.51,0,1.66,1.29,0,7.65,747.68,0,960.89,0,128.53,5.54,0,0,3005.35,814.96,0,1087.88,0,129.9,4.63,0,3283.24
B,933.12,10.09,689.38,62,130.95,41.46,108.22,233.46,1568.32,2.12,0.51,1.7,1.83,1.34,1.29,1.24,1.02,1,3.6,997.1,16.38,704.1,45.88,83.52,29.78,23.25,13.01,1893.55,992.75,10.92,640.82,53.71,119.87,29.86,57.55,2477.46
B,915.52,0,764.12,0,222.57,19.52,0,71.56,1718.41,2.02,0,1.72,0,1.92,0,1.29,1.15,0.81,3.78,1014.21,0,885.94,0,210.88,10.54,0,116.23,2129.41,972.89,0,954.03,0,256.56,7.77,0,2831.73
B,692.48,0,1138.3,0,210.29,0,0,0,4538.57,3.2,0,3.57,0,0,0,2.48,1.76,0,9.06,646.59,0,1148.09,0,121.92,0,0,0,3989.76,592.71,0,1067.97,0,164.03,0,0,4333.43
B,949.91,33.16,1090.35,88.05,200.05,0,79.54,423.04,2788.08,3.8,2.48,3.63,5.15,0,2.17,2.83,2.01,2.51,6.92,419.17,63.57,1151.33,30.27,167.36,0,111.54,227.58,3033.94,931.37,0,1146.43,41.61,142.7,0,98.14,3243.41
B,862.62,17.12,733.1,51.83,158.62,31.42,113.9,183.73,1926.72,1.92,1.24,1.76,1.68,1.2,1.22,1.32,1.01,0.83,4.3,936.42,2.16,761.79,55.66,166.36,4.3,64.7,6.26,2364.6,894.54,12.86,774.18,43.37,143.51,30.14,71.54,3054.76
B,822.39,121.5,804.45,217.05,100.68,92.71,304.2,388.04,2304.22,2.79,3.18,2.81,4.44,2.96,2.46,1.63,1.32,3.34,5.77,752.94,134.86,701.38,135.07,62.24,67.95,273.03,416.28,2548,881.93,98.33,732.06,156.45,61.57,44.2,0,2910.8
B,1358.27,54.66,931.7,229.91,112.33,133.17,208.86,715.1,2166,6.23,2.01,4.66,5.33,4.22,3.47,3.19,0,7.02,6.5,789.82,55.64,702.22,211.56,92.84,104.84,156.68,485.29,2261.15,1130.28,16.77,695.35,156.88,47.73,112.31,146.51,2315.16
B,297.1,0,417.61,0,246.77,0,0,13.63,5651.54,2.78,0,2.72,0,0,0,2.49,1.67,0.46,11.04,308.74,0,317.75,0,19.05,0,0,38.75,5169.51,275.97,0,329.24,0,143.99,0.31,0,5111.4
B,652.95,0,974.05,0,133.4,0,0,0,3281.81,3.62,0,3.59,0,0,0,2.48,1.61,0,7.51,492.6,0,979.17,0,37.01,0,0,0,2833.68,625.33,0,971.65,0,89.98,0,0,3366.45
B,142.01,6.68,334.58,0,221.26,0,0,0,5627.95,1.35,0.53,2.44,0,0,0.03,1.08,0.86,0,8.84,126.57,1.84,379.01,0,218.83,0,2.03,0,5965.6,150.29,0,370.82,0.19,215.9,0,0,5934.91
B,841.31,10.18,662.54,0,135.46,36.63,0,189.66,1163.84,2.71,0.85,1.79,0,1.97,0,1.45,1.12,1.11,3.15,868.16,18.21,688.82,0,99.18,26.06,0,163.77,1499.06,879.28,6.25,653.76,3.15,100.47,20.99,0,2360.55
B,259.62,0,329.99,0,297.16,0,0,0,6488.64,0.67,0.43,1,0,0,0,0.46,0.4,0,9.36,306.72,12.77,401.59,0,284.13,0,0,0,6414.94,293.15,7.96,507.12,0.43,314.8,0,0,6446.96
B,705.23,0,967.44,0,189.82,0,9.73,0,3199.6,1.49,0,2.21,0,0,0.65,0.91,0.99,0,6.65,754.87,0,1066.13,0,190.73,0,14.11,0,3551.13,761.04,0,1164,0,248.77,0,1.83,4025.79
B,200.9,10.31,386.02,3.46,169.08,0,0,0,4851.19,0.69,0.26,1.65,0.2,0,0,0.38,0.38,0,8.09,219.48,0.65,417.05,3.56,182.22,0,0,0,4865.01,231.17,9.1,469.34,3.99,184.96,0,0,5063.49
B,710.57,0,802.48,0,230.64,0,0,0,2870.75,1.36,0,1.6,0,0.09,0,0.83,0.76,0.33,5.34,753.71,0,901.55,0,230.91,3.23,0,2.35,3269.51,747.33,0,1029.38,0,264.13,0,0,3595.14
B,845.43,0,730.89,0,257.6,0,0,0,1896.83,1.73,0,1.46,0,0,0,0.96,1.06,0,3.69,928.5,0,774.28,0,257.52,0,0,0,2316.02,891.95,0,788.16,0,293.21,0,0,3020.14
B,634.88,0,1004.94,0,190.86,0,0,0,3752.83,1.03,0,2.02,0,0,0,0.47,0.53,0,6.99,715.09,0,1146.03,0,176.37,0,0,0,4060.17,765.72,0,1301.14,0,235.28,0.28,0,4327.89
B,609.16,13.78,0,0,481.77,0,0,0,1291.98,1.34,0.51,1.02,0,0,0,0.89,1.13,0,2.21,687.54,26.79,466.54,0,461.42,0,0,0,1437.64,691.65,10.4,472.82,0,480.89,0,0,1460.11
B,589.99,0,941.18,0.62,125.51,2.67,52.46,0,3537.88,1.45,0,2.51,0.06,0.26,1.08,0.93,0.77,0,7.64,689.26,0,999.2,1.98,113.04,5.62,37.27,0,3913.11,680.65,0,1184.48,0,126.28,1.36,33.07,4206.68
B,589.03,0,842.1,0,187.03,0,0,0,3543.08,0.89,0,1.58,0,0,0,0.36,0.45,0,6.49,684.74,0,990.3,0,166.73,0,0,0,3934.35,754.82,0,1195.37,0,187.43,0,0,4310.79
B,576.35,0,1040.21,0,149.36,0,8.68,19.34,3876.03,0.91,0,2.28,0,0,0.54,0.32,0.41,0.16,7.73,676.03,0,1256.95,0,151.45,0,29.34,43.44,4071.13,785.19,0,1404.91,0,151.94,0,5.38,4336.2
B,692.8,0,966.49,0,0,0,0,0,3223.87,1.53,0,2.22,0,0,0,2.37,1.05,0,6.18,789.09,0,1126.39,0,1151.54,0,0,0,3567,752.5,0,1585.1,0,1575.94,0,0,3881.7
B,591.98,0,1146.15,0,200.82,0,0,0,4935.4,0.96,0,2.43,0,0,0,0.42,0.5,7.43,8.82,677.96,0,1313.67,0,197.69,0,0,1785.78,5061.94,794.3,0,1493.4,0,202.6,0,0,5271.06
B,608.08,0,1219.52,0,168.36,0,0.6,203.93,4575.12,0.98,0.02,2.64,0,0,0.07,0.36,0.46,4.22,8.69,726.98,1.95,1356.76,0,161.95,0,19.29,276.41,4808.33,827.76,0,1442.86,0,165.59,0,0,4934.26
B,610.24,0,1124.43,0,147.46,0,5.15,2407.92,3998.9,1.13,0,2.56,0,0,0.51,0.56,0.78,7.22,7.97,724.01,0,1289.92,0,170.97,0,7.12,393.41,4095.28,817.09,0,1419.55,0,188.02,0,0,4241.93
B,605.12,0,1201.89,0.8,197.81,0,0,0,5324.34,1.09,0,2.66,0.12,0,0,0.5,0.58,6.62,9.53,712.81,0,1330.07,6.33,194.8,0,0,1708.18,5409.39,811.38,0,1534.94,0,221.34,0,0,5440.87
B,572.07,0,791.61,0,125.09,4.81,48.33,0,3318.76,0.94,0,1.72,0,0.51,0.83,0.36,0.41,0,7.13,646.69,0,924.24,0,127.18,20.79,24.53,0,3659.33,711.5,0,1206.02,0,124.24,4.6,37.6,4187.41
B,601.95,0,1215.93,0,172.41,0,0,0,4850.96,0.95,0,2.59,0,0,0,0.34,0.44,7.08,9.03,693.51,0,1283.37,0,172.91,0,0,1833.63,5013.73,821.87,0,1377.56,0,167.23,0,0,5164.24
B,729.54,79.02,759.23,119.31,123.57,43.08,214.19,188.61,2545.74,1.36,2.14,1.67,2.2,0.83,1.09,0.62,0.83,0.75,5.56,823.88,70.89,847.51,126.15,125.54,42.83,134.24,60.5,2853.3,825.14,84.89,1067.72,125.99,164.84,46.61,149.04,3344.12
B,571.85,0,940.8,0,133.01,0,21.93,0,3841.57,0.94,0,2.17,0,0,0.7,0.34,0.42,0.25,7.96,657.86,0,1133.52,0,146.47,0,10.78,24.62,4184.22,756.02,0,1310.2,0,140.07,0,14.92,4271.81
B,637.83,19.6,810.96,74.01,119.16,13.17,0,112.04,2953.47,1.21,1.46,1.89,2.61,0.59,1.14,0.61,0.58,0.51,6.48,703.98,13.25,945.99,59.62,132,7.38,111.8,8.24,3288.14,736.82,7.84,1145.84,71.94,162.29,8.06,120.75,3717.89
B,522.58,8.77,946.73,85.33,100.58,12.38,165.69,0,3345.99,1.47,0.56,2.63,3.57,0.69,1.35,0.95,0.82,0,8.28,545.9,20.21,1033.67,52.81,88.76,32.11,119.56,0,3316.87,616.8,3.17,1078.19,52.34,99.17,10.5,147.73,3307.64
B,568.57,69.44,1066.33,162.95,110.92,30.58,237.61,0,3310.31,1.76,2.83,3.31,3.29,1.06,1.43,1.9,1.79,0,7.77,703.15,32.1,1062.45,147.69,49.97,30.93,217.33,0,3044.18,724.76,56.24,1128.86,155.01,80.06,23.47,0,3155.85
B,592.65,0,933.66,34.88,113.85,5.66,111.85,77.66,3319.54,1.17,0,2.31,2.04,0.46,1.06,0.57,0.57,0.5,7.42,696.5,0,1056.21,17.71,144.32,8.36,75.46,23.22,3590.16,779.29,0,1277.97,32.08,117.22,3.41,83.15,3819.95
B,546.88,0,0,0,0,0,0,0,6268.86,2.1,0,2.89,0,0,0,0,1.22,0,10.63,603.54,0,1149.68,0,0,0,0,0,5965.93,561.63,0,1163.05,0,274.95,0,0,6320.78
B,788.39,71.72,1095.89,176.72,105.93,9.77,268.01,0,3543.08,4.8,2.97,4.66,4.93,1,3.45,2.52,1.07,0,8.57,565.97,23.51,988.43,34.14,71.39,6.66,118.12,0,3196.02,791.86,36.25,1053.92,100.78,58.65,0,0,3366.95
B,992.41,122.4,736.48,169.63,111.95,152.68,148.79,399.58,1334.73,2.75,1.92,2,2.18,1.76,1.68,1.59,1.49,1.51,3.51,1037.31,89.93,797.09,171.93,112.41,147.56,42.75,426.63,1557.29,1055.94,118.97,885.78,162.33,119.76,150.05,81.49,2035.06
B,638.92,0,1066.27,0,0,0,19.56,0,3640.95,1.52,0,2.7,0,0.17,0.77,2.81,0.91,0,7.65,726.32,0,1298.86,0,1218.15,4.56,20.86,0,3743.34,738.93,0,1392.86,0,237.41,0,13.25,4106.94
B,676.13,0,1149.98,0,0,0,0,0,3985.86,1.98,0,3,0,0,0,3.02,1.19,0,8.16,758.72,0,1304.85,0,1276.04,0,0,0,4078.87,754.39,0,1586.45,0,1628.01,0,0,4369.89
B,261.33,0,437.86,0,323.47,0,0,0,7585.97,2.85,0,3.06,0,0,0,2.74,1.44,0,11.61,226.01,0,470.11,0,365.91,0,0,0,7189.25,259.88,0,448.45,0,327.33,0,0,7249.85
B,626.3,0,1126.47,0,143.6,0,11.9,205.18,3903.38,1.3,0,2.67,0,0.11,0.7,0.68,0.68,1.67,7.93,706.26,0,1314.28,0,135.34,8.73,8.19,114.64,4098.19,768.49,0,1483.7,0,182.35,0,11.13,4438.25
B,1074.64,66.79,830.18,114.54,160.12,77.26,141.98,363.11,1500.09,2.7,1.67,2.08,2.05,1.65,1.45,1.61,1.37,1.38,3.61,1192.83,54.42,889.42,137.58,135.3,93.74,77.86,131.46,1805.69,1164.27,71.63,935.62,114.66,155.28,84.03,40.49,2365.13
B,555.55,0,935.62,0,296.4,0,0,0,4995.13,3.26,0,3.7,0,0,0,2.86,2.07,0,8.9,509.85,0,991.21,0,216.63,0,0,0,4777.77,514.57,0,994.02,0,250,0,0,4790.45
B,647.41,0,709.84,1.63,165.87,0,52.92,0,2388.22,1.7,0,1.82,0.11,0,0.97,1.14,0.99,0,5.3,677.07,0,745.66,3.93,135.85,0,16.46,0,2694.75,674.27,0,753.51,1.03,167.13,0,27.11,3138.84
B,921.19,0,836.02,70.01,153.93,8.41,0,355.68,1781.56,3.05,0.31,2.79,2.85,0.57,0,2.29,1.72,2.71,4.78,968.46,3.91,860.36,69.33,65.27,2.41,0,31.8,1885.03,933.56,4.5,848.26,38.7,97.88,8.97,158.74,2334.51
B,660.94,0,572.83,0,211.1,3.8,0,43.86,868.8,1.85,0,1.27,0,0.38,0,1.22,0.89,0.69,1.87,744.17,0,550.64,0,160.4,5.54,0,13.31,1120.51,703.79,0,555.79,0,185.23,0,0,1180.12
B,471.79,0,643.14,0,228.83,0,0,0,4583.5,4.12,0,3.91,0,0,0,2.62,2.76,0,15.28,431.07,0,698.59,0,81.91,0,0,0,3163.15,431.48,0,655.74,0,125.52,0,0.28,3000.87
B,665.89,0,927.61,39.31,111.5,0,96.18,0,3347.9,3.84,0,3.99,2.94,0,2.29,2.8,0,0,8.07,677.14,0,850.01,7.91,136.96,0,264.26,0,2832.95,563.77,0,912.43,4.87,86.01,0,0,3135.17
B,517.47,0,698.35,0,293.18,0,0,0,4424.79,5.15,0,4.3,0,0,0,3.91,1.25,0,8.26,543.62,0,633.55,0,209.97,0,0,0,4188.55,500.06,0,621.85,0,239.1,0.36,0.47,4054.68
B,724.56,0,763.56,0,158.98,0,33.96,59.7,2680.67,1.31,0,1.56,0,0,0.84,0.64,0.66,0.44,5.78,815.35,0,903.85,0,163,0,24.33,53.82,3139.85,775.88,0,1149.11,0,229.35,0,16.74,3667.9
B,215.61,0,444.76,0,335.19,0,0,0,7962.57,3.67,0.06,3.72,0,0,0,2.94,1.12,0,12.05,192.5,12.05,502.13,0,239.98,0,0,0,7599.99,188.88,0,418.6,0,309.3,0.39,0,7836.37
B,679.06,0,1099.98,0,215.1,0,1.02,0,4038.18,1.72,0,2.58,0.05,0,0.08,1.26,0.99,0,7.54,783.85,0,1188.04,1.69,222.12,0,1.1,0,4237.58,780.86,0,1213.58,0,225.34,0,0,4471.08
B,592.22,0,676.34,7.33,132.27,7,69.22,74.02,2759.28,0.98,0.44,1.3,0.46,0.25,0.81,0.34,0.4,0.18,6.05,674.21,0.54,778.66,15.89,139.45,0.27,43.93,47.15,3209.93,687.07,0,1056.83,5.78,137.06,7.17,32.66,3677.6
B,942.63,0,744.42,0,206.79,0,0,41.84,1532.9,2.67,0,2.23,0,0.06,0,2.11,1.62,0.99,3.59,1002.22,0,721.46,0,126.42,8.62,0,39.05,1873.91,937.44,0,707.9,0,152.85,0,0,2577.67
B,262.64,0,477.18,0,246.75,0,0,0,6308.01,1.51,0,2.33,0,0,0.14,1.28,0.94,0,9.96,264.83,0,552.15,0,260.56,0,17.42,0,6459.81,245.4,0,597.53,0,260.69,0,1.3,6664.43
B,874.47,86.13,835.17,179.04,113.14,64.94,227.75,381.76,2429.42,3.39,2.61,3.08,3.63,2.61,2.18,2.3,1.76,3.1,6.1,884.74,118.47,822.01,174.46,100.34,35.92,122.97,307.15,2603.35,867.33,92.86,774.41,168.25,85.71,62.56,162.68,2871.48
B,1003.44,0,972.09,0.63,322.48,0,0,0,2668.24,3.54,0,3.1,0.07,0,0,2.63,2.07,0,5.77,1006.9,0,908.81,1.56,183.36,0,0,0,2464.32,964.08,0,858.58,0,219.33,0,0,2912.26
B,1036.81,108.09,786.87,176.17,126.12,93.25,229.51,295.48,1516.96,2.41,1.63,1.91,2.09,1.5,1.58,1.35,1.11,1.07,3.58,1156.82,99.97,844.11,189.04,90.03,110.85,21.67,294.63,1747.48,1141,104.36,840.12,183.69,105.92,96.06,109.9,2179.45
B,650.4,0,871.83,0,286.52,0,0,0,3643.25,1.78,0,2.19,0,0,0,1.44,1.1,0,6.26,681.66,0,975.82,0,322.71,0,0,0,3826.19,671.41,0,951.4,0,267.95,0,0,3998.76
B,695.32,0,830.27,0,162.93,0,39.01,54.29,2794.56,1.38,0.06,1.87,0.2,0,0.97,0.86,0.74,0.53,5.98,770.22,8.61,960.34,16.69,150.84,0,20.09,112.65,3327.41,754.19,0,1224.14,1.41,188.57,0,10.16,3690.82
B,110.09,12.24,229.57,0,217.13,0,0,0,6213.9,0.82,0.46,1.8,0,0,0.11,0.65,0.52,2427.9,9.55,115.4,27.65,254.86,0,234.75,0,0.51,0,6359.99,125.73,12.29,296.25,0.95,260.22,0.44,0,6044.57
B,724.84,0,920.51,0.76,254.63,1.14,0,0,3231.85,2.12,0,2.39,0.08,0.1,0,1.68,1.29,0,6.12,773.8,0,952.84,1.48,266.8,15.38,0,0,3538.94,746.16,0,1033.42,0,262.32,0,0,3676.59
B,75.41,29.41,206.11,11.02,178.94,0,0,0,6173.83,0.65,0.39,1.85,0.47,0,0,0.49,0.41,41.47,9.35,80.85,60.32,263.35,1.53,184.59,0,0,24407.19,5992.37,68.1,28,327.22,8.05,181.04,0,0.57,5835.52
B,1035.11,0,874.51,0,226.27,0,0,0,2144.23,3.16,0,2.79,0,0,0,2.29,2.06,0,5.2,1087.16,0,896.26,0,149.22,0,0,0,2407.3,1059.81,0,894.19,0,152.86,0,0,2919.75
B,311.8,0,465.35,0,308.69,0,0,0,5562.66,3.58,0,3.43,0,0,0,3,1.91,0,8.97,214.63,0,439.97,0,274.82,0,0,0,5598.28,297.18,0,407.6,0,277.98,0.31,0,5473.54
B,375.73,0,580.26,0,358.74,0,0,0,5533.7,3.5,0,3.31,0,0,0,2.81,1.35,3.4,8.76,244.92,0,539.92,0,358.35,0,0,254.07,5399.6,370.01,0,569.16,0,326.1,0,0,5481.19
B,834.95,0,604.93,0,460.13,0,0,0,0,1.64,0,1.2,0,0,0,1.04,0.89,0,0.52,900.22,0,677.99,0,443.85,0,0,0,40.91,875.55,0,662.74,0,482.41,0,0,1814.88
B,393.69,0,916.74,21.04,127.56,0,0,0,1979.37,3.17,0,5.47,1.45,0,0,2.27,0,0,8.2,414.34,0,970.33,38.51,94.28,0,0,0,1578.7,385.19,0,1000.43,14.07,94.87,0,0,1481.74
B,675.18,0,624.33,0,259.82,0,0,0,1189.76,1.9,0,1.37,0,0.07,0,1.16,0.99,0.17,2.46,757.28,0,605.61,0,258.87,10.97,0,1.04,1411.81,693.3,0,576.65,0,238.55,0.89,0,1547.88
B,782.6,0,854.3,0,259.06,0,0,0,2608.22,2.83,0,2.68,0,0,0,2.25,1.83,0,5.33,805.05,0,812.76,0,203.41,0,0,0,2790.03,763.72,0,844.26,0,202.91,0,0,3092.44
B,578.89,0,846.83,0,127.81,0,31.75,0,3540.6,1.12,0,1.94,0,0,0.74,0.46,0.48,0.27,7.22,653.15,0,965.45,0,125.73,0,8.09,33.86,3677.32,692.6,0,1107.23,0,187.18,0,22.33,3955.55
B,1159.33,332.84,802.61,568.66,73.19,291.41,94.88,254.45,1424.02,2.98,2.16,2.22,2.99,2.54,1.45,1.56,0,1.59,3.45,1308.32,319.67,650.97,653.99,4.59,243.18,25.88,252.94,1620.68,1198.78,329.92,679.5,579.16,29.31,269.5,87.5,1558.28
B,726.05,0,930.6,0,241.13,0,0,0,3040.77,2.34,0,2.63,0,0,0,1.94,1.38,0,6.31,782.03,0,1012.53,0,223.97,0,0,0,3248.08,753.54,0,1060.78,1.15,228.03,0,0,3465.44
B,883.22,65.94,707.71,134.71,130.43,62.11,221.63,225.49,1870.7,1.83,1.57,1.61,2.39,1.09,1.37,0.96,0.84,0.8,4.15,946.85,63.43,769.92,152.53,125.62,64.62,155.51,226.6,2211.37,927.36,55.71,753.6,135.97,138.91,57.44,186.41,2849.8
B,587.11,0,1013.7,0,343.9,0,0,0,6488.42,4.2,0,4.19,0,0,0,2.93,2.58,0,10.95,621.21,0,1075.66,0,266.97,0,0,0,6218.85,566.53,0,1072.79,0,269.39,0,0,6115.39
B,244.99,0,467.48,0,398.76,0,0,0,8199.25,3.53,0,3.51,0,0.1,0,2.78,1.62,0,12.22,274.61,0,507.34,0,400.18,13.85,0,0,7735.84,236.87,0,456.72,0,367.35,0,0,7595.9
B,0,0,940.51,0,192.8,0,0,38.26,4232.74,0.89,0,1.84,0.08,0.09,0,0.35,0.43,1.42,7.48,702.61,0,1070.89,5.26,200.57,5.11,0,13.62,4559.78,0.24,0,1.23,0,0.65,0,28.6,0
B,567.65,0,353.25,0,305.36,2.6,0,7257.14,7635.34,18.62,0,5.23,0,0.54,0,4.95,0,11.28,12.22,501.36,0,345.64,0,304.37,4.11,0,8213.81,6897.4,223.02,0,282.08,0,320.47,0,0,6747.43
B,345.23,0,615.47,0,322.43,0,0,0,7292.59,1.96,0,2.58,0,0,0,1.41,1.12,0,11.34,315.64,0,697.08,0,316.54,0,0,0,6934.92,315.08,0,689.36,0,311.3,0,0,7100.65
B,956.81,0,738.13,13.52,213.46,0,0,79.54,1374.16,2.42,0,1.78,1.5,0,0,1.53,0.99,0.74,3.23,1008.12,0,816.48,15.27,189.79,0,0,53.33,1831.95,940.71,0,794.49,6.59,238.03,0,0,2869.15
B,772.68,0,543.67,0,380.63,0,0,0,1928.52,1.45,0,1.08,0,0,0,0.83,0.78,0,3.37,814.87,0,546.5,0,344.18,0,0,0,2218.37,797.54,0,532.38,0,350.67,0,0,2534.36
B,798.12,0,1131.9,0.67,162.49,0,0,0,3838.63,3.73,0,3.71,0.05,0.09,0,2.51,1.84,0,8.4,732.43,0,1326.3,5.5,56.75,3.36,0,0,3279.2,673.03,0,1322.55,0,127.16,2.17,0,3733.2
